id. Trans;prod 1;prod 2;prod 3;prod 4;prod 5;prod 6;prod 7;prod 8
1;9;2;10;4;10;22;22;21
2;16;8;22;19;12;18;7;3
3;13;16;2;7;21;3;1;12
4;8;8;10;22;22;7;18;4
5;11;11;16;8;20;9;8;9
6;10;22;16;4;13;21;1;4
7;21;20;11;16;2;4;15;2
8;17;6;16;12;16;21;9;6
9;16;10;15;9;2;9;19;11
10;10;2;9;19;7;3;19;3
11;7;9;20;9;6;4;7;17
12;16;22;15;6;10;4;6;6
13;18;7;4;22;7;9;6;7
14;19;6;2;9;22;22;2;20
15;2;9;16;2;12;9;7;16
16;9;20;19;17;6;6;21;10
17;5;16;1;4;16;12;21;3
18;5;6;12;5;5;9;18;16
19;16;4;14;17;19;12;1;1
20;9;14;10;2;6;2;9;11
21;13;4;2;14;2;17;4;20
22;21;2;3;18;20;4;6;19
23;9;5;4;19;3;1;4;4
24;9;15;2;22;7;9;18;9
25;8;4;22;15;20;17;10;17
26;10;16;16;2;2;15;5;9
27;16;3;3;16;1;13;7;11
28;6;2;8;8;1;5;14;15
29;12;17;8;5;10;16;3;2
30;12;12;12;9;16;10;19;13
31;2;16;11;15;5;16;16;2
32;16;9;20;8;16;5;22;7
33;9;5;12;9;2;6;5;9
34;7;16;22;10;17;1;3;19
35;6;1;14;6;2;6;9;2
36;3;20;5;8;12;4;14;8
37;7;16;20;17;14;6;12;8
38;20;19;20;9;16;20;4;21
39;15;11;6;14;9;19;11;17
40;8;2;19;17;19;1;10;21
41;2;7;11;15;2;12;10;21
42;17;19;17;9;9;5;7;2
43;19;11;19;9;14;20;14;17
44;9;1;12;11;15;16;21;18
45;21;11;8;16;6;2;18;9
46;14;4;12;2;14;1;11;14
47;3;17;21;9;22;2;10;21
48;22;8;5;16;2;9;7;9
49;5;5;21;10;1;4;19;18
50;14;20;22;16;13;3;13;11
51;6;13;6;10;2;8;5;18
52;9;13;1;3;3;22;19;22
53;7;2;20;12;4;2;12;1
54;18;7;20;5;22;1;10;12
55;14;8;3;8;3;22;8;9
56;7;21;6;5;16;7;16;14
57;22;16;9;5;19;13;11;17
58;17;5;18;14;21;9;1;6
59;12;15;9;12;18;13;16;20
60;5;5;16;2;13;19;15;14
61;9;2;16;22;4;3;2;12
62;2;22;5;12;22;22;13;15
63;10;20;18;9;17;20;18;7
64;4;5;4;20;10;1;20;2
65;20;18;17;14;9;22;21;1
66;21;18;12;7;16;11;21;20
67;2;22;7;12;8;20;6;14
68;4;12;3;16;2;21;21;13
69;16;12;9;16;8;6;1;10
70;9;3;8;5;5;20;9;14
71;17;20;11;17;12;16;16;10
72;22;21;8;14;6;9;9;2
73;5;17;12;11;9;9;14;6
74;5;19;2;22;13;1;6;6
75;13;20;18;13;15;12;2;12
76;12;19;9;2;18;13;19;14
77;10;9;15;3;9;6;2;19
78;5;16;22;16;10;15;15;19
79;7;20;12;3;11;4;2;2
80;14;22;15;20;13;18;19;1
81;4;13;4;4;13;18;2;11
82;1;4;16;7;13;18;5;16
83;20;3;12;13;22;7;18;2
84;1;4;19;9;6;10;8;8
85;14;16;5;11;8;11;18;7
86;18;5;5;7;2;5;10;10
87;20;9;7;1;3;21;2;19
88;4;19;17;15;2;9;22;5
89;16;2;14;2;12;7;14;3
90;13;14;9;15;15;12;14;8
91;2;18;7;14;21;21;18;6
92;6;11;22;6;19;12;17;4
93;13;4;11;20;21;11;15;19
94;7;1;17;11;1;15;16;10
95;14;22;7;3;10;9;7;1
96;1;19;1;6;16;8;22;19
97;13;5;11;4;5;19;8;6
98;2;22;7;10;1;1;19;8
99;3;10;9;2;8;1;3;10
100;18;12;10;9;8;11;2;17
101;1;13;4;9;19;10;4;22
102;4;16;22;6;13;7;2;8
103;12;21;17;16;8;3;8;9
104;7;17;2;20;13;4;17;16
105;2;3;20;17;7;3;16;14
106;12;11;15;9;5;9;15;10
107;22;17;16;2;2;14;11;2
108;12;9;7;7;6;14;2;13
109;16;9;9;14;9;13;17;13
110;4;21;18;19;6;10;6;4
111;22;6;5;9;7;6;9;16
112;11;16;2;1;18;11;16;13
113;16;13;16;15;19;15;19;18
114;16;9;2;19;2;4;14;13
115;9;22;22;21;16;19;19;12
116;16;2;15;21;8;14;16;2
117;19;6;17;2;11;15;16;13
118;9;7;9;19;11;20;16;17
119;1;10;20;19;16;1;6;11
120;15;19;20;12;21;8;16;5
121;15;16;19;8;4;21;9;19
122;2;12;1;15;9;20;17;5
123;16;14;21;7;3;17;2;15
124;4;8;21;12;16;3;15;2
125;21;19;21;16;10;21;15;16
126;22;6;15;2;10;9;17;21
127;13;16;2;9;7;5;22;14
128;10;5;10;20;9;18;20;14
129;2;2;8;7;18;8;14;19
130;16;22;14;18;3;9;14;9
131;15;6;12;13;9;4;12;9
132;16;22;14;9;10;2;6;14
133;3;21;9;14;20;2;8;6
134;17;5;15;11;12;16;1;14
135;7;9;16;10;18;5;21;10
136;12;11;16;12;12;2;12;10
137;7;8;1;9;4;16;1;15
138;8;16;18;10;19;20;6;10
139;2;11;7;2;5;16;15;4
